video_id,video_title,published_at,playlist_name,playlist_id,video_url,channel_title,views,likes,comments,duration,angry,disgust,fear,happy,sad,surprise,neutral,pct_with_face,brightness,mean_r,mean_g,mean_b,blurriness,title is exaggerated,title is plain,title is emotionally touching
Ud2BcD5NC2A,The IMPOSSIBLE Camera,2025-04-22 12:21:40+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=Ud2BcD5NC2A,CaseyNeistat,1095921,58822,2663,PT10M42S,15.436110462891971,0.1073840181372973,11.254708123464962,11.83552086949221,13.947304477397807,2.407778774000055,45.01119374815709,41.7910447761194,102.9718690920398,109.50003426876036,100.8271003187189,96.93926417392206,422.0276146406034,0.747284471988678,0.20797117054462433,0.0447443425655365
AjKGToaFDvA,the very WORST Nintendo Switch 2 review.,2025-04-04 17:30:56+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=AjKGToaFDvA,CaseyNeistat,1141332,46962,2218,PT6M30S,7.571890747258236,0.3444714289512489,20.09280647903189,11.658059545671764,23.872401475307857,1.585856563455869,34.874514234499294,32.84313725490196,97.82991698154956,114.77243791700708,90.44283101000816,91.40898684300107,778.0635916192571,0.3737248182296753,0.6188527941703796,0.007422440219670534
StMltAX0mp0,DO HARD THINGS,2024-11-14 18:49:01+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=StMltAX0mp0,CaseyNeistat,3028363,143023,4893,PT12M37S,12.845866232894014,0.5031177489465489,11.5980566396028,20.40662375196366,29.95935765184882,2.6406278506605187,22.046350385214453,22.78481012658228,88.45338254878692,94.03613560346344,86.18748313335091,85.52188405414908,406.383949860536,0.45955729484558105,0.3006267845630646,0.2398158758878708
TUbIKg-lrow,New York City's Controversial Fire Hydrant Fish Pond,2024-09-23 15:29:37+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=TUbIKg-lrow,CaseyNeistat,1978684,79441,4103,PT7M,4.8062536878100515,0.5323020377167704,23.081243260548717,20.54952450634348,18.29231066035285,2.679833962096681,30.058532096699217,23.74429223744292,103.60806110476916,109.83172523068876,102.14354404490106,94.79696787005328,767.4907182374288,0.39349275827407837,0.35522738099098206,0.2512798607349396
h-vWRLGnTGg,the importance of picking a fight you'll never win,2024-03-20 20:10:44+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=h-vWRLGnTGg,CaseyNeistat,2011737,72894,3786,PT12M9S,9.925250554208777,0.1349041762512735,18.07999001306724,13.51326609963174,23.117126436166657,1.9351076872298592,33.29435508108381,51.578947368421055,83.38649014300073,90.0379540387427,81.33909247076024,76.45565026498538,316.7676925551839,0.25320541858673096,0.657351553440094,0.08944305777549744
9IiTdSnmS7E,Sisyphus and the Impossible Dream,2024-02-08 15:04:38+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=9IiTdSnmS7E,CaseyNeistat,3944823,285722,12246,PT11M59S,9.924541144475734,3.176623648263694,19.163344310474823,18.48982774059871,21.268553090753343,0.3769079300113806,27.60020266292552,25.866666666666667,114.1433653125,118.60717900462964,112.351383125,111.76181222222222,433.89594893965574,0.2361132949590683,0.5264298915863037,0.23745687305927277
UvkgmyfMPks,the thing no one will say about Apple Vision Pro,2024-02-03 18:08:18+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=UvkgmyfMPks,CaseyNeistat,7765404,278939,14909,PT10M37S,8.307230361757256,0.3120467648016227,21.278197640953383,15.237096846009436,23.113788182837975,1.8682714884470724,29.88336897761532,39.1566265060241,89.83650137006359,98.28931363474732,88.35967709379183,75.27764108517403,456.0738575512055,0.499662846326828,0.36308541893959045,0.13725174963474274
lI_3AiV0CnI,Life Lessons from my 46 Year Old Wife,2024-01-31 18:43:23+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=lI_3AiV0CnI,CaseyNeistat,1346722,52859,1883,PT8M57S,8.660586425459792,0.2415597268489054,17.38055585562795,13.57814764695956,27.866766970615014,4.822277488088061,27.45010691831017,53.92857142857142,94.7645906032986,94.23652101934525,96.55920535714286,87.03970241195437,197.00749274545188,0.2573487460613251,0.41132092475891113,0.33133023977279663
o2C35kWHPAA,My New Career as a Male Model and Professional Skateboarder,2023-11-04 14:34:00+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=o2C35kWHPAA,CaseyNeistat,1110489,57344,2649,PT9M52S,16.734958257650064,0.8899633810071191,13.31650017310034,19.35692464345253,13.987453083830829,2.3240798907725915,33.39012127855052,38.51132686084142,102.22932916722851,106.61968563185457,101.14304596199658,96.29815420206312,385.6215789179656,0.37014955282211304,0.44467422366142273,0.18517619371414185
JFKJYE3LcYk,her very first nfl game!           #NFLPartner   #NFLCreatoroftheweek,2023-10-16 19:04:29+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=JFKJYE3LcYk,CaseyNeistat,498307,17236,228,PT59S,3.0719010682848698,0.2029125603908897,33.795556878512045,43.14109036857,5.181178575734392,3.091014457483083,11.516344126284634,33.33333333333333,88.39745992476853,90.03171195023148,87.89043156828704,86.71591608796297,291.62982292579676,0.28452619910240173,0.3542100191116333,0.36126378178596497
kVHGhdUDjPU,Jew,2023-10-11 16:20:13+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=kVHGhdUDjPU,CaseyNeistat,1756695,98360,9161,PT8M50S,13.397291794530242,0.0108499168332217,8.978783249852757,9.895427022682538,4.727429852210434,0.6359396132878941,62.35427912115097,98.55072463768116,113.122590453905,123.96686924441426,110.143171972499,100.06195510643116,304.5418559551097,0.28692659735679626,0.27610331773757935,0.4369700849056244
DpJzOuYSpKo,NYC is Under Water,2023-09-29 23:50:01+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=DpJzOuYSpKo,CaseyNeistat,4826414,133743,5159,PT5M59S,20.11076419359944,0.1940531477540767,6.994362396306308,7.442247463522094,27.768306425259368,0.3063231680978369,37.18394383331415,37.4331550802139,93.68157863097892,99.32919802343288,91.95819975954396,87.73674402573529,361.9525730098272,0.2749687433242798,0.5218459367752075,0.2031853049993515
BZEr7_Oggcw,Everything Changed except this,2023-09-28 13:41:31+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=BZEr7_Oggcw,CaseyNeistat,1195725,49667,1545,PT6M42S,10.24645132905075,0.1180713123254184,11.217970721451923,22.97755154507869,21.60819453315159,0.6495215459521234,33.1822400347233,30.952380952380953,109.5199191261574,115.04848780588624,108.17252312748016,101.91718797536376,432.7633971488357,0.32888904213905334,0.38374337553977966,0.28736764192581177
LgKulg2YVZo,NYC sidewalks can be scary,2023-09-13 00:15:56+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=LgKulg2YVZo,CaseyNeistat,788467,42541,1379,PT20S,1.723451598379773,0.0003906801712079,34.05972392486869,17.33907559603765,46.51256896118621,0.0590495967776889,0.305740380076172,50.0,126.93525303819445,135.0669418402778,124.83056770833336,116.53009244791669,2023.2736796617205,0.4900355041027069,0.46591249108314514,0.04405195638537407
0TvLl2f0wC8,this is the World's Smallest Vlogging Camera and it's pretty incredible,2023-06-27 13:22:56+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=0TvLl2f0wC8,CaseyNeistat,1668147,62469,2643,PT7M52S,6.841865553705911,0.0254286200672412,9.952580114454454,26.193825347543395,15.697394795645211,1.0502886110987972,40.238617621977184,28.455284552845526,130.27918487466124,136.5288363997572,129.41804915099934,118.29059183039747,384.8190406523646,0.6164886355400085,0.10243882238864899,0.28107258677482605
