video_id,video_title,published_at,playlist_name,playlist_id,video_url,channel_title,views,likes,comments,duration,angry,disgust,fear,happy,sad,surprise,neutral,pct_with_face,brightness,mean_r,mean_g,mean_b,blurriness
Ud2BcD5NC2A,The IMPOSSIBLE Camera,2025-04-22 12:21:40+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=Ud2BcD5NC2A,CaseyNeistat,1095921,58822,2663,PT10M42S,15.436110462891971,0.10738401813729737,11.254708123464962,11.83552086949221,13.947304477397807,2.407778774000055,45.01119374815709,41.7910447761194,102.97186909203981,109.50003426876036,100.8271003187189,96.93926417392206,422.0276146406034
AjKGToaFDvA,the very WORST Nintendo Switch 2 review.,2025-04-04 17:30:56+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=AjKGToaFDvA,CaseyNeistat,1141332,46962,2218,PT6M30S,7.571890747258236,0.3444714289512489,20.09280647903189,11.658059545671764,23.872401475307857,1.585856563455869,34.874514234499294,32.84313725490196,97.82991698154957,114.77243791700708,90.44283101000816,91.40898684300109,778.0635916192571
StMltAX0mp0,DO HARD THINGS,2024-11-14 18:49:01+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=StMltAX0mp0,CaseyNeistat,3028363,143023,4893,PT12M37S,12.845866232894014,0.5031177489465489,11.5980566396028,20.40662375196366,29.95935765184882,2.6406278506605187,22.046350385214453,22.78481012658228,88.45338254878692,94.03613560346344,86.18748313335091,85.52188405414908,406.383949860536
TUbIKg-lrow,New York City's Controversial Fire Hydrant Fish Pond,2024-09-23 15:29:37+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=TUbIKg-lrow,CaseyNeistat,1978684,79441,4103,PT7M,4.8062536878100515,0.5323020377167704,23.081243260548717,20.54952450634348,18.29231066035285,2.679833962096681,30.058532096699214,23.74429223744292,103.60806110476915,109.83172523068875,102.14354404490106,94.79696787005328,767.4907182374288
h-vWRLGnTGg,the importance of picking a fight you'll never win,2024-03-20 20:10:44+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=h-vWRLGnTGg,CaseyNeistat,2011737,72894,3786,PT12M9S,9.925250554208775,0.13490417625127357,18.079990013067242,13.51326609963174,23.117126436166654,1.9351076872298592,33.29435508108381,51.578947368421055,83.38649014300073,90.0379540387427,81.33909247076024,76.45565026498538,316.7676925551839
9IiTdSnmS7E,Sisyphus and the Impossible Dream,2024-02-08 15:04:38+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=9IiTdSnmS7E,CaseyNeistat,3944823,285722,12246,PT11M59S,9.924541144475734,3.176623648263694,19.163344310474823,18.48982774059871,21.268553090753343,0.3769079300113806,27.60020266292552,25.866666666666667,114.14336531250001,118.60717900462963,112.351383125,111.76181222222222,433.89594893965574
UvkgmyfMPks,the thing no one will say about Apple Vision Pro,2024-02-03 18:08:18+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=UvkgmyfMPks,CaseyNeistat,7765404,278939,14909,PT10M37S,8.307230361757256,0.31204676480162274,21.278197640953383,15.237096846009436,23.113788182837975,1.8682714884470724,29.88336897761532,39.1566265060241,89.83650137006359,98.28931363474732,88.35967709379183,75.27764108517403,456.07385755120555
lI_3AiV0CnI,Life Lessons from my 46 Year Old Wife,2024-01-31 18:43:23+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=lI_3AiV0CnI,CaseyNeistat,1346722,52859,1883,PT8M57S,8.660586425459792,0.24155972684890548,17.38055585562795,13.578147646959561,27.866766970615018,4.822277488088061,27.450106918310166,53.92857142857142,94.7645906032986,94.23652101934523,96.55920535714286,87.03970241195437,197.00749274545188
o2C35kWHPAA,My New Career as a Male Model and Professional Skateboarder,2023-11-04 14:34:00+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=o2C35kWHPAA,CaseyNeistat,1110489,57344,2649,PT9M52S,16.734958257650064,0.8899633810071191,13.31650017310034,19.356924643452526,13.987453083830829,2.3240798907725915,33.39012127855052,38.51132686084142,102.22932916722851,106.61968563185455,101.14304596199658,96.29815420206312,385.6215789179656
JFKJYE3LcYk,her very first nfl game!           #NFLPartner   #NFLCreatoroftheweek,2023-10-16 19:04:29+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=JFKJYE3LcYk,CaseyNeistat,498307,17236,228,PT59S,3.0719010682848698,0.20291256039088973,33.795556878512045,43.14109036857,5.181178575734392,3.091014457483083,11.516344126284634,33.33333333333333,88.39745992476853,90.03171195023148,87.89043156828704,86.71591608796297,291.62982292579676
kVHGhdUDjPU,Jew,2023-10-11 16:20:13+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=kVHGhdUDjPU,CaseyNeistat,1756695,98360,9161,PT8M50S,13.397291794530242,0.010849916833221711,8.978783249852757,9.895427022682538,4.727429852210434,0.6359396132878941,62.35427912115097,98.55072463768117,113.12259045390499,123.96686924441426,110.143171972499,100.06195510643116,304.5418559551097
