video_id,video_title,published_at,playlist_name,playlist_id,video_url,channel_title,views,likes,comments,duration,angry,disgust,fear,happy,sad,surprise,neutral,pct_with_face,brightness,mean_r,mean_g,mean_b,blurriness,title is plain,title is emotionally touching,title is exaggerated
DpJzOuYSpKo,NYC is Under Water,2023-09-29 23:50:01+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=DpJzOuYSpKo,CaseyNeistat,4827582,133754,5159,PT5M59S,18.142805,0.15475738,9.676985,7.9004164,30.027626,1.8209183,32.276493,37.96791443850268,94.4203308011178,100.59047900883836,92.3730306395759,88.76578194630126,369.3391755544319,0.5218453407287598,0.2031862586736679,0.2749684751033783
BZEr7_Oggcw,Everything Changed except this,2023-09-28 13:41:31+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=BZEr7_Oggcw,CaseyNeistat,1196346,49677,1546,PT6M42S,13.621109,0.30893245,10.589982,22.226065,20.786314,1.1196257,31.347973,33.41288782816229,109.189696864227,115.27788437872913,107.54073602409838,101.68897512471824,422.6017205178733,0.3837440311908722,0.2873672544956207,0.3288886845111847
LgKulg2YVZo,NYC sidewalks can be scary,2023-09-13 00:15:56+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=LgKulg2YVZo,CaseyNeistat,792362,42588,1379,PT20S,1.3970879,0.00013532855,56.96985,9.328148,18.48531,0.20844036,13.6110325,40.0,122.33013216145837,131.3649787326389,119.79296050347224,111.43632638888889,1981.898128773811,0.4659116566181183,0.04405214264988899,0.4900361895561218
0TvLl2f0wC8,this is the World's Smallest Vlogging Camera and it's pretty incredible,2023-06-27 13:22:56+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=0TvLl2f0wC8,CaseyNeistat,1669410,62490,2643,PT7M52S,11.293874,0.43514228,12.615461,24.25885,12.545656,0.882572,37.96845,27.90224032586558,130.35694752948913,137.1661972713708,129.20665649220695,118.3694809611196,392.022681175638,0.10243915766477585,0.2810719609260559,0.6164888739585876
Cm_uIxcczWM,10 simple Tricks to Not get Divorced,2023-06-16 13:51:20+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=Cm_uIxcczWM,CaseyNeistat,1996479,92397,4838,PT12M14S,13.71074,0.591132,16.67309,15.263406,18.548134,2.6390047,32.574493,69.41176470588235,112.0827910993101,119.06382501588598,109.85928661719316,105.2417980324074,417.8140070139768,0.5919095277786255,0.163905531167984,0.2441849261522293
UVX6kxnJgMU,Apple Vision Pro; READY PLAYER ONE,2023-06-08 20:41:20+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=UVX6kxnJgMU,CaseyNeistat,885103,40898,2133,PT2M41S,23.195536,0.29286563,16.855078,14.218829,28.657803,0.18695611,16.592934,21.686746987951807,52.73286785161479,54.52982408801874,51.39446771460843,55.13846348937416,166.35348332733352,0.7588571906089783,0.08531317859888077,0.15582960844039917
h9xaHwBsRUw,NYC; The Worst Air Quality on the Planet,2023-06-07 23:03:41+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=h9xaHwBsRUw,CaseyNeistat,3297444,111330,8067,PT4M7S,12.929889,0.6605685,19.086742,21.119654,14.198721,4.60085,27.403578,22.48062015503876,130.37128026418495,148.70453624636627,126.00050885551248,104.69517263538977,222.2920741433852,0.8113470077514648,0.04627000913023949,0.14238296449184418
YpqFOB7_9go,Creative POISON,2023-04-28 19:49:04+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=YpqFOB7_9go,CaseyNeistat,1573462,72586,2747,PT10M16S,16.746181,0.20246464,6.0996304,16.381914,13.302568,0.76685405,46.500385,56.98051948051948,97.985073876319,105.91302101652688,95.3085582879577,90.95716568587662,495.738255196676,0.056117236614227295,0.07270760834217072,0.8711751699447632
Ygj9vBF_WUk,AI Made this VLOG,2023-04-17 14:35:22+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=Ygj9vBF_WUk,CaseyNeistat,2360317,101377,4675,PT5M5S,31.270906,0.08026924,5.30591,17.229826,8.634962,0.45636865,37.02176,64.77987421383648,100.86871997292104,104.70407964273237,99.4386282811408,98.22943951727376,682.0406140577663,0.23878590762615204,0.3261401653289795,0.4350739121437073
3CJZli1VFQg,"I Was At Trumps Arraignment, It Was Insane",2023-04-06 14:19:33+00:00,Uploads,UUtinbF-Q-fVthA0qrFQTgXQ,https://www.youtube.com/watch?v=3CJZli1VFQg,CaseyNeistat,1569765,57510,2617,PT6M40S,8.658933,0.281015,23.883652,14.155827,17.541067,1.0553788,34.42413,38.1294964028777,118.0822738475886,123.62303055472287,115.83626141794898,115.12224682753798,847.1035766667538,0.08622146397829056,0.1084384098649025,0.805340051651001
